z_m,z_mm,offset_D_mm,r_mm,theta_deg,current_signed_peak,current_peak_abs,current_signed_norm,current_abs_norm,current_signed_side_norm,current_abs_side_norm,dipole_signed,dipole_abs,dipole_signed_norm,dipole_abs_norm,dipole_signed_side_norm,dipole_abs_side_norm,side,without_dipole_signed_peak,without_dipole_peak_abs,without_dipole_signed_norm,without_dipole_abs_norm,without_dipole_signed_side_norm,without_dipole_abs_side_norm,snapshot_index,snapshot_Time_s,snapshot_Porosity
0.08000000000000014,80.00000000000014,45.0,91.78779875342923,29.357753542791237,0.9094168343106162,0.9094168343106162,5.620563529379238e-17,5.620563529379238e-17,0.07838945652624583,0.07838945652624583,103.4511023293231,103.4511023293231,0.5444301482905952,0.5444301482905952,0.5444301482905953,0.5444301482905953,porous/transmitted,1.670401312576109,1.670401312576109,3.8426708081567966e-17,3.8426708081567966e-17,0.06254255242699577,0.06254255242699577,24,5769.2,0.75115
0.07750000000000014,77.50000000000014,45.0,89.61724164467472,30.141385552075295,1.029614277630761,1.029614277630761,6.363432300619827e-17,6.363432300619827e-17,0.08875017550815573,0.08875017550815573,107.67800113433,107.67800113433,0.5666749682239152,0.5666749682239152,0.5666749682239153,0.5666749682239153,porous/transmitted,1.8169397544730097,1.8169397544730097,4.179774825443268e-17,4.179774825443268e-17,0.06802919094667761,0.06802919094667761,24,5769.2,0.75115
0.07500000000000014,75.00000000000014,45.0,87.46427842267963,30.96375653207347,1.1664955625522444,1.1664955625522444,7.209413954860331e-17,7.209413954860331e-17,0.10054899990724793,0.10054899990724793,112.09057852451534,112.09057852451534,0.589896955315312,0.589896955315312,0.5898969553153123,0.5898969553153123,porous/transmitted,1.9774564897164597,1.9774564897164597,4.549035175095044e-17,4.549035175095044e-17,0.07403919959178053,0.07403919959178053,24,5769.2,0.75115
0.07250000000000013,72.50000000000013,45.0,85.33024082938017,31.82744657667307,1.3223566701196368,1.3223566701196368,8.172698582757078e-17,8.172698582757078e-17,0.11398383754696281,0.11398383754696281,116.68877819029935,116.68877819029935,0.6140958132254319,0.6140958132254319,0.614095813225432,0.614095813225432,porous/transmitted,2.1533393350692083,2.1533393350692083,4.9536444569509383e-17,4.9536444569509383e-17,0.08062454048780683,0.08062454048780683,24,5769.2,0.75115
0.07000000000000013,70.00000000000013,45.0,83.21658488546629,32.735226272107546,1.4997656421189383,1.4997656421189383,9.269157720287578e-17,9.269157720287578e-17,0.12927604720618627,0.12927604720618627,121.46981593885228,121.46981593885228,0.6392568896356328,0.6392568896356328,0.639256889635633,0.639256889635633,porous/transmitted,2.346107905029828,2.346107905029828,5.3970984646441066e-17,5.3970984646441066e-17,0.0878421104826758,0.0878421104826758,24,5769.2,0.75115
0.06750000000000013,67.50000000000013,45.0,81.12490369793987,33.69006752597974,1.7015735816638209,1.7015735816638209,1.0516412336818813e-16,1.0516412336818813e-16,0.14667138684226952,0.14667138684226952,126.42739515104908,126.42739515104908,0.6653470474482251,0.6653470474482251,0.6653470474482253,0.6653470474482253,porous/transmitted,2.557422608531573,2.557422608531573,5.883216882036972e-17,5.883216882036972e-17,0.09575407799781793,0.09575407799781793,24,5769.2,0.75115
0.06500000000000013,65.00000000000013,45.0,79.05694150420959,34.69515353123392,1.9309159336540511,1.9309159336540511,1.1933840748857717e-16,1.1933840748857717e-16,0.16644012396334268,0.16644012396334268,131.55075066300427,131.55075066300427,0.6923096330400131,0.6923096330400131,0.6923096330400134,0.6923096330400134,porous/transmitted,2.7890929744472444,2.7890929744472444,6.416162435609502e-17,6.416162435609502e-17,0.10442819474867028,0.10442819474867028,24,5769.2,0.75115
0.06250000000000012,62.50000000000013,45.0,77.01460900374691,35.75388725443669,2.1911987055127575,2.1911987055127575,1.3542493458639321e-16,1.3542493458639321e-16,0.18887584789033118,0.18887584789033118,136.82349276316,136.82349276316,0.720058392587761,0.720058392587761,0.7200583925877613,0.7200583925877613,porous/transmitted,3.0430847387778943,3.0430847387778943,7.000457198165946e-17,7.000457198165946e-17,0.11393806110059285,0.11393806110059285,24,5769.2,0.75115
0.06000000000000012,60.00000000000012,45.0,75.0000000000001,36.86989764584396,2.4860623667980013,2.4860623667980013,1.5364870039138176e-16,1.5364870039138176e-16,0.2142923579937658,0.2142923579937658,142.22222222222197,142.22222222222197,0.7484701834125824,0.7484701834125824,0.7484701834125826,0.7484701834125826,porous/transmitted,3.321524920956802,3.321524920956802,7.640994266606496e-17,7.640994266606496e-17,0.12436331613397761,0.12436331613397761,24,5769.2,0.75115
0.05750000000000012,57.50000000000012,45.0,73.01540933255127,38.04704253182604,2.8193137468667477,2.8193137468667477,1.7424498234111684e-16,1.7424498234111684e-16,0.2430177934427514,0.2430177934427514,147.71488881736633,147.71488881736633,0.7773763354165096,0.7773763354165096,0.7773763354165099,0.7773763354165099,porous/transmitted,3.626703847829623,3.626703847829623,8.343042417987708e-17,8.343042417987708e-17,0.13578971342536986,0.13578971342536986,24,5769.2,0.75115
0.05500000000000012,55.00000000000012,45.0,71.06335201775957,39.2894068625003,3.194813296485361,3.194813296485361,1.9745237189295625e-16,1.9745237189295625e-16,0.2753849154377676,0.2753849154377676,153.25887112937025,153.25887112937025,0.8065525456673809,0.8065525456673809,0.8065525456673811,0.8065525456673811,porous/transmitted,3.9610727331370783,3.9610727331370783,9.112240541249087e-17,9.112240541249087e-17,0.14830903041934812,0.14830903041934812,24,5769.2,0.75115
0.052500000000000116,52.500000000000114,45.0,69.14658342969675,40.60129464500441,3.616301621991182,3.616301621991182,2.235020536342555e-16,2.235020536342555e-16,0.3117161548892617,0.3117161548892617,158.79876650777416,158.79876650777416,0.8357072476905406,0.8357072476905406,0.8357072476905409,0.8357072476905409,porous/transmitted,4.327234964139361,4.327234964139361,9.954577592548505e-17,9.954577592548505e-17,0.16201874218551543,0.16201874218551543,24,5769.2,0.75115
0.050000000000000114,50.000000000000114,45.0,67.26812023536864,41.98721249581659,4.087145394158759,4.087145394158759,2.5260210142352412e-16,2.5260210142352412e-16,0.35230171039743846,0.35230171039743846,164.26389972313038,164.26389972313038,0.864468500300421,0.864468500300421,0.8644685003004212,0.8644685003004212,porous/transmitted,4.7279286552816995,4.7279286552816995,1.087635246088279e-16,1.087635246088279e-16,0.17702136819925327,0.17702136819925327,24,5769.2,0.75115
0.04750000000000011,47.500000000000114,45.0,65.43126164151208,43.45184230102196,4.609978947444389,4.609978947444389,2.849153277754487e-16,2.849153277754487e-16,0.39736865500355506,0.39736865500355506,169.56559040136074,169.56559040136074,0.8923696069793169,0.8923696069793169,0.8923696069793172,0.8923696069793172,porous/transmitted,5.165997263229559,5.165997263229559,1.188410636951391e-16,1.188410636951391e-16,0.19342337212066224,0.19342337212066224,24,5769.2,0.75115
0.04500000000000011,45.00000000000011,45.0,63.63961030678936,44.999999999999936,5.186214829405469,5.186214829405469,3.2052903383715013e-16,3.2052903383715013e-16,0.44703874677406075,0.44703874677406075,174.59426695964112,174.59426695964112,0.918833927442667,0.918833927442667,0.9188339274426672,0.9188339274426672,porous/transmitted,5.644344069705758,5.644344069705758,1.2984518166117645e-16,1.2984518166117645e-16,0.21133345755766741,0.21133345755766741,24,5769.2,0.75115
0.04250000000000011,42.50000000000011,45.0,61.89709201569981,46.63657704161665,5.815395454673062,5.815395454673062,3.594149389837355e-16,3.594149389837355e-16,0.5012725429946443,0.5012725429946443,179.2165828290286,179.2165828290286,0.943159701238731,0.943159701238731,0.9431597012387314,0.9431597012387314,porous/transmitted,6.165865067215248,6.165865067215248,1.418424992990553e-16,1.418424992990553e-16,0.23086005519797562,0.23086005519797562,24,5769.2,0.75115
0.040000000000000105,40.00000000000011,45.0,60.207972893961546,48.36646066342973,6.49436078976395,6.49436078976395,4.0137774037631627e-16,4.0137774037631627e-16,0.5597976566827819,0.5597976566827819,183.27278312549493,183.27278312549493,0.9645061893783319,0.9645061893783319,0.9645061893783321,0.9645061893783321,porous/transmitted,6.733353151367395,6.733353151367395,1.548972657107581e-16,1.548972657107581e-16,0.25210773561319555,0.25210773561319555,24,5769.2,0.75115
0.0375000000000001,37.5000000000001,45.0,58.57687256929997,50.19442890773473,7.216216468815082,7.216216468815082,4.459913383445754e-16,4.459913383445754e-16,0.6220198107449479,0.6220198107449479,186.57468842680643,186.57468842680643,0.9818830635957947,0.9818830635957947,0.981883063595795,0.981883063595795,porous/transmitted,7.349364436930278,7.349364436930278,1.6906828297891996e-16,1.6906828297891996e-16,0.27517220391364317,0.27517220391364317,24,5769.2,0.75115
0.0350000000000001,35.0000000000001,45.0,57.00877125495696,52.125016348901724,7.969106738004426,7.969106738004426,4.925229993934712e-16,4.925229993934712e-16,0.686917068854746,0.686917068854746,188.90480415843695,188.90480415843695,0.994145719331134,0.994145719331134,0.9941457193311344,0.9941457193311344,porous/transmitted,8.016034855902289,8.016034855902289,1.8440468710143936e-16,1.8440468710143936e-16,0.30013343288069977,0.30013343288069977,24,5769.2,0.75115
0.0325000000000001,32.5000000000001,45.0,55.50900827793635,54.162347045721624,8.737010340688032,8.737010340688032,5.3998254512086245e-16,5.3998254512086245e-16,0.7531084387610942,0.7531084387610942,190.01721828620148,190.01721828620148,0.9999999999999997,0.9999999999999997,1.0,1.0,porous/transmitted,8.737010340688032,8.737010340688032,2.0099035084538257e-16,2.0099035084538257e-16,0.3271279321763512,0.3271279321763512,24,5769.2,0.75115
0.030000000000000096,30.000000000000096,45.0,54.08326913195989,56.30993247402013,9.49503096426143,9.49503096426143,5.868312828023418e-16,5.868312828023418e-16,0.8184479205869927,0.8184479205869927,189.64109272657413,189.64109272657413,0.9980205711723403,0.9980205711723403,0.9980205711723407,0.9980205711723407,porous/transmitted,9.513862978904276,9.513862978904276,2.1886143926370623e-16,2.1886143926370623e-16,0.35621456332773554,0.35621456332773554,24,5769.2,0.75115
0.027500000000000094,27.500000000000092,45.0,52.73755777432251,58.5704343851614,10.206889484350267,10.206889484350267,6.30827015948432e-16,6.30827015948432e-16,0.8798083445510404,0.8798083445510404,187.48764384862034,187.48764384862034,0.9866876567271331,0.9866876567271331,0.9866876567271333,0.9866876567271333,porous/transmitted,10.34460035530065,10.34460035530065,2.3797211788619836e-16,2.3797211788619836e-16,0.38731872705483855,0.38731872705483855,24,5769.2,0.75115
0.02500000000000009,25.000000000000092,45.0,51.47815070493504,60.94539590092276,10.82779532395442,10.82779532395442,6.692015059027902e-16,6.692015059027902e-16,0.9333288749439468,0.9333288749439468,183.26148346363502,183.26148346363502,0.9644467228628139,0.9644467228628139,0.9644467228628141,0.9644467228628141,porous/transmitted,11.226950195666335,11.226950195666335,2.582701142337111e-16,2.582701142337111e-16,0.42035534570123817,0.42035534570123817,24,5769.2,0.75115
0.02250000000000009,22.50000000000009,45.0,50.31152949374531,63.43494882292192,11.306758144644228,11.306758144644228,6.988033436996289e-16,6.988033436996289e-16,0.974614272127751,0.974614272127751,176.67697599998365,176.67697599998365,0.9297945606901529,0.9297945606901529,0.9297945606901532,0.9297945606901532,porous/transmitted,12.160490739214076,12.160490739214076,2.7974572592003924e-16,2.7974572592003924e-16,0.45530862785444554,0.45530862785444554,24,5769.2,0.75115
0.020000000000000087,20.00000000000009,45.0,49.244289008980566,66.03751102542174,11.588095795196123,11.588095795196123,7.16191147382985e-16,7.16191147382985e-16,0.9988648739366035,0.9988648739366035,167.479779815855,167.479779815855,0.8813926512891009,0.8813926512891009,0.8813926512891012,0.8813926512891012,porous/transmitted,13.147484016627194,13.147484016627194,3.024509897773411e-16,3.024509897773411e-16,0.4922632676364888,0.4922632676364888,24,5769.2,0.75115
0.017500000000000085,17.500000000000085,45.0,48.28301978956995,68.74949449286667,11.601264693117642,11.601264693117642,7.170050384897613e-16,7.170050384897613e-16,1.0,1.0,155.47292703697562,155.47292703697562,0.8182044155746152,0.8182044155746152,0.8182044155746154,0.8182044155746154,porous/transmitted,14.178931905384806,14.178931905384806,3.2617890870570487e-16,3.2617890870570487e-16,0.530882360648844,0.530882360648844,24,5769.2,0.75115
0.015000000000000083,15.000000000000083,45.0,47.434164902525715,71.56505117707789,11.286171383063179,11.286171383063179,6.975309986432699e-16,6.975309986432699e-16,0.9728397447701207,0.9728397447701207,140.54567378526187,140.54567378526187,0.7396470438461726,0.7396470438461726,0.7396470438461729,0.7396470438461729,porous/transmitted,15.25886093504135,15.25886093504135,3.5102211091046376e-16,3.5102211091046376e-16,0.5713166667321923,0.5713166667321923,24,5769.2,0.75115
0.01250000000000008,12.50000000000008,45.0,46.703854230673535,74.47588900324564,10.591537502195886,10.591537502195886,6.545998178054589e-16,6.545998178054589e-16,0.9129640416254989,0.9129640416254989,122.70205789620445,122.70205789620445,0.6457417859437988,0.6457417859437988,0.645741785943799,0.645741785943799,porous/transmitted,16.40212501768888,16.40212501768888,3.773223028663035e-16,3.773223028663035e-16,0.6141223406074195,0.6141223406074195,24,5769.2,0.75115
0.010000000000000078,10.000000000000078,45.0,46.09772228646445,77.4711922908484,9.472608059007872,9.472608059007872,5.854454566472057e-16,5.854454566472057e-16,0.8165151222372696,0.8165151222372696,102.08492132642715,102.08492132642715,0.5372403735153524,0.5372403735153524,0.5372403735153525,0.5372403735153525,porous/transmitted,17.63197355594344,17.63197355594344,4.056143249140877e-16,4.056143249140877e-16,0.6601698778680473,0.6601698778680473,24,5769.2,0.75115
0.007500000000000076,7.500000000000076,45.0,45.620718977236656,80.53767779197429,-8.076919110233801,8.076919110233801,-4.991862396646681e-16,4.991862396646681e-16,-0.6962102256855986,0.6962102256855986,78.99050441098323,78.99050441098323,0.41570182493677355,0.41570182493677355,0.41570182493677366,0.41570182493677366,porous/transmitted,-19.42959743191473,19.42959743191473,-4.469677214915093e-16,4.469677214915093e-16,-0.7274758507863552,0.7274758507863552,24,5769.2,0.75115
0.005000000000000074,5.000000000000074,45.0,45.27692569068709,83.65980825409,-6.129847113946376,6.129847113946376,-3.7884932221905513e-16,3.7884932221905513e-16,-0.5283774895320559,0.5283774895320559,53.869037109682026,53.869037109682026,0.28349555685288036,0.28349555685288036,0.2834955568528804,0.2834955568528804,porous/transmitted,-21.622374551455326,21.622374551455326,-4.974114116551501e-16,4.974114116551501e-16,-0.809577006315312,0.809577006315312,24,5769.2,0.75115
