r_cm,pressure_amplitude_kpa
-3.8,1.0940380972234456
-3.768333333333333,0.8781039707441988
-3.7366666666666664,0.6535115909149027
-3.7049999999999996,0.4207273342479676
-3.6733333333333333,0.1802575872712648
-3.6416666666666666,0.06735146980320644
-3.61,0.32151419943310994
-3.578333333333333,0.5816059653934625
-3.5466666666666664,0.8469637156634536
-3.5149999999999997,1.1168866911557627
-3.4833333333333334,1.3906372615352616
-3.4516666666666667,1.6674418890031653
-3.42,1.9464922205389117
-3.388333333333333,2.226946308696419
-3.3566666666666665,2.5079299606443857
-3.3249999999999997,2.7885382147237325
-3.293333333333333,3.0678369433703607
-3.2616666666666667,3.3448645808186037
-3.23,3.6186339735628046
-3.1983333333333333,3.8881343511114435
-3.1666666666666665,4.152333414122605
-3.135,4.410179536562363
-3.1033333333333335,4.6606040780805795
-3.0716666666666663,4.902523802353465
-3.04,5.134843396700077
-3.0083333333333333,5.356458087843819
-2.9766666666666666,5.566256348259429
-2.945,5.763122687125232
-2.913333333333333,5.945940519489063
-2.881666666666667,6.113595106857726
-2.85,6.264976562034458
-2.8183333333333334,6.3989829106595835
-2.7866666666666666,6.514523201557284
-2.755,6.610520657658016
-2.7233333333333336,6.685915858953775
-2.6916666666666664,6.739669948652659
-2.66,6.770767853433058
-2.6283333333333334,6.77822150845623
-2.5966666666666667,6.761073077581928
-2.565,6.718398159045275
-2.533333333333333,6.649308966696522
-2.501666666666667,6.552957476779062
-2.4699999999999998,6.4285385301270095
-2.4383333333333335,6.275292879602118
-2.4066666666666667,6.092510172562061
-2.375,5.879531858159192
-2.3433333333333333,5.635754009310711
-2.3116666666666665,5.360630049259316
-2.2800000000000002,5.053673372757237
-2.248333333333333,4.714459852057511
-2.216666666666667,4.3426302180833085
-2.185,3.93789230737022
-2.1533333333333333,3.500023165637162
-2.121666666666667,3.0288709991379683
-2.09,2.524356965278712
-2.0583333333333336,1.9864767943538542
-2.026666666666667,1.4153022346564204
-1.995,0.810982313654241
-1.9633333333333334,0.1737444083927137
-1.9316666666666666,0.496104881214782
-1.9000000000000001,1.1981790620171042
-1.8683333333333334,1.9320112854253253
-1.8366666666666667,2.697054098044638
-1.8050000000000002,3.4926794091893645
-1.7733333333333334,4.318178678695546
-1.7416666666666667,5.17276332779
-1.71,6.055565375097033
-1.6783333333333332,6.965638299171195
-1.646666666666667,7.901958128235214
-1.6150000000000002,8.863424757081694
-1.5833333333333335,9.848863490365096
-1.5516666666666667,10.85702681077292
-1.52,11.886596369820747
-1.4883333333333333,12.936185198270524
-1.456666666666667,14.004340132426647
-1.4250000000000003,15.089544451822443
-1.3933333333333335,16.190220723074873
-1.3616666666666668,17.304733843958452
-1.33,18.4313942810351
-1.2983333333333333,19.568461493476967
-1.2666666666666666,20.714147535036417
-1.2350000000000003,21.866620825455524
-1.2033333333333336,23.02401008196791
-1.1716666666666669,24.18440840093141
-1.1400000000000001,25.34587747904531
-1.1083333333333334,26.506451963049194
-1.0766666666666667,27.66414391627922
-1.0450000000000004,28.816947389970007
-1.0133333333333336,29.96284308674067
-0.9816666666666669,31.09980310329287
-0.9500000000000002,32.22579573898053
-0.9183333333333334,33.33879035658387
-0.8866666666666667,34.43676228133979
-0.8550000000000004,35.517697724045334
-0.8233333333333337,36.57959871386271
-0.791666666666667,37.62048802631532
-0.7600000000000002,38.63841409187393
-0.7283333333333335,39.631455870492054
-0.6966666666666668,40.59772767746015
-0.665,41.53538394600929
-0.6333333333333337,42.442623912207694
-0.601666666666667,43.31769620785615
-0.5700000000000003,44.15890334730242
-0.5383333333333336,44.96460609435848
-0.5066666666666668,45.73322769581762
-0.4750000000000001,46.46325796842972
-0.4433333333333338,47.153257226603074
-0.41166666666666707,47.80186003855468
-0.38000000000000034,48.40777879913227
-0.3483333333333336,48.96980710807233
-0.3166666666666669,49.48682294304376
-0.28500000000000014,49.957791617447434
-0.25333333333333385,50.38176851360355
-0.22166666666666712,50.757901582650895
-0.1900000000000004,51.08543360320958
-0.15833333333333366,51.363704191613
-0.12666666666666693,51.59215155729796
-0.0950000000000002,51.770313997746875
-0.06333333333333346,51.89783112820302
-0.031666666666667176,51.974444842224386
-4.440892098500626e-16,52.0
0.03166666666666629,51.974444842224365
0.06333333333333302,51.89783112820304
0.09499999999999975,51.77031399774686
0.12666666666666648,51.59215155729797
0.15833333333333277,51.36370419161301
0.1899999999999995,51.08543360320959
0.22166666666666668,50.757901582650916
0.25333333333333297,50.38176851360353
0.28499999999999925,49.95779161744744
0.31666666666666643,49.48682294304376
0.3483333333333327,48.96980710807233
0.3799999999999999,48.40777879913226
0.4116666666666662,47.80186003855471
0.44333333333333336,47.153257226603074
0.47499999999999964,46.46325796842974
0.5066666666666659,45.73322769581764
0.5383333333333331,44.964606094358516
0.5699999999999994,44.158903347302434
0.6016666666666666,43.317696207856166
0.6333333333333329,42.44262391220773
0.6649999999999991,41.535383946009304
0.6966666666666663,40.597727677460156
0.7283333333333326,39.63145587049208
0.7599999999999998,38.63841409187393
0.7916666666666661,37.62048802631536
0.8233333333333333,36.57959871386272
0.8549999999999995,35.517697724045355
0.8866666666666658,34.436762281339824
0.918333333333333,33.33879035658388
0.9499999999999993,32.225795738980565
0.9816666666666665,31.09980310329289
1.0133333333333328,29.962843086740698
1.045,28.816947389970025
1.0766666666666662,27.664143916279233
1.1083333333333325,26.506451963049223
1.1399999999999997,25.345877479045324
1.171666666666666,24.184408400931435
1.2033333333333331,23.024010081967912
1.2349999999999994,21.866620825455552
1.2666666666666666,20.714147535036417
1.298333333333333,19.56846149347698
1.3299999999999992,18.431394281035125
1.3616666666666664,17.304733843958466
1.3933333333333326,16.1902207230749
1.4249999999999998,15.089544451822452
1.456666666666666,14.004340132426677
1.4883333333333324,12.936185198270557
1.5199999999999996,11.886596369820753
1.5516666666666659,10.85702681077295
1.583333333333333,9.848863490365106
1.6149999999999993,8.86342475708172
1.6466666666666665,7.901958128235229
1.6783333333333328,6.965638299171202
1.709999999999999,6.05556537509707
1.7416666666666663,5.1727633277900065
1.7733333333333325,4.318178678695565
1.8049999999999997,3.4926794091893716
1.836666666666666,2.69705409804466
1.8683333333333332,1.9320112854253253
1.8999999999999995,1.198179062017121
1.9316666666666658,0.49610488121480045
1.963333333333333,0.17374440839270877
1.9949999999999992,0.8109823136542201
2.0266666666666664,1.415302234656412
2.0583333333333327,1.9864767943538466
2.089999999999999,2.5243569652786975
2.121666666666666,3.0288709991379537
2.1533333333333324,3.500023165637149
2.1849999999999996,3.9378923073702103
2.216666666666666,4.342630218083297
2.248333333333333,4.714459852057511
2.2799999999999994,5.05367337275723
2.3116666666666656,5.360630049259307
2.343333333333333,5.635754009310709
2.374999999999999,5.879531858159182
2.4066666666666663,6.0925101725620605
2.4383333333333326,6.275292879602115
2.4699999999999998,6.4285385301270095
2.501666666666666,6.552957476779059
2.5333333333333323,6.649308966696522
2.5649999999999995,6.718398159045278
2.596666666666666,6.7610730775819246
2.628333333333333,6.77822150845623
2.6599999999999993,6.770767853433058
2.6916666666666655,6.7396699486526614
2.7233333333333327,6.685915858953774
2.754999999999999,6.61052065765802
2.786666666666666,6.514523201557284
2.8183333333333325,6.398982910659589
2.8499999999999996,6.264976562034458
2.881666666666666,6.113595106857727
2.913333333333332,5.945940519489063
2.9449999999999994,5.763122687125232
2.9766666666666657,5.566256348259439
3.008333333333333,5.356458087843819
3.039999999999999,5.13484339670008
3.0716666666666663,4.902523802353465
3.1033333333333326,4.660604078080588
3.134999999999999,4.410179536562367
3.166666666666666,4.152333414122605
3.1983333333333324,3.888134351111455
3.2299999999999995,3.6186339735628126
3.261666666666666,3.344864580818618
3.293333333333332,3.0678369433703643
3.3249999999999993,2.7885382147237325
3.3566666666666656,2.5079299606443906
3.3883333333333328,2.226946308696422
3.419999999999999,1.9464922205389203
3.451666666666666,1.667441889003174
3.4833333333333325,1.39063726153527
3.514999999999999,1.116886691155771
3.546666666666666,0.8469637156634572
3.5783333333333323,0.5816059653934745
3.6099999999999994,0.3215141994331139
3.6416666666666657,0.06735146980321402
3.673333333333333,0.18025758727125726
3.704999999999999,0.4207273342479676
3.7366666666666655,0.6535115909148955
3.7683333333333326,0.8781039707441954
3.8,1.0940380972234456
