z_m,z_mm,side,distance_from_interface_m,distance_from_interface_mm,peak_abs,peak_signed,peak_time_s,peak_time_us,liu_dipole_peak_distance_m,liu_dipole_peak_distance_mm,include_in_quantitative_summary,interface_value_policy
-0.02,-20.0,R_E,0.02,20.0,0.22922068458981576,0.22922068458981576,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.019,-19.0,R_E,0.019,19.0,0.23981910104824009,0.23981910104824009,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.018,-18.0,R_E,0.018,18.0,0.25115667424353333,0.25115667424353333,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.016999999999999998,-16.999999999999996,R_E,0.016999999999999998,16.999999999999996,0.2633043385135737,0.2633043385135737,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.015999999999999997,-15.999999999999996,R_E,0.015999999999999997,15.999999999999996,0.276342031889578,0.276342031889578,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.014999999999999996,-14.999999999999996,R_E,0.014999999999999996,14.999999999999996,0.2903602852366493,0.2903602852366493,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.013999999999999995,-13.999999999999995,R_E,0.013999999999999995,13.999999999999995,0.30546222843661536,0.30546222843661536,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.012999999999999994,-12.999999999999995,R_E,0.012999999999999994,12.999999999999995,0.32176616835143396,0.32176616835143396,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.011999999999999993,-11.999999999999993,R_E,0.011999999999999993,11.999999999999993,0.3394089653889299,0.3394089653889299,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
-0.010999999999999992,-10.999999999999993,R_E,0.010999999999999992,10.999999999999993,0.3586146856584761,0.3586146856584761,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.009999999999999992,-9.999999999999991,R_E,0.009999999999999992,9.999999999999991,0.38017221031652393,0.38017221031652393,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00899999999999999,-8.999999999999991,R_E,0.00899999999999999,8.999999999999991,0.4037479165598735,0.4037479165598735,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.00799999999999999,-7.999999999999989,R_E,0.00799999999999999,7.999999999999989,0.42960674962621626,0.42960674962621626,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.006999999999999989,-6.9999999999999885,R_E,0.006999999999999989,6.9999999999999885,0.4580611063560049,0.4580611063560049,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.005999999999999988,-5.999999999999988,R_E,0.005999999999999988,5.999999999999988,0.48948203844402216,0.48948203844402216,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.004999999999999987,-4.999999999999987,R_E,0.004999999999999987,4.999999999999987,0.5243130772460391,0.5243130772460391,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.003999999999999986,-3.9999999999999862,R_E,0.003999999999999986,3.9999999999999862,0.5630860870959278,0.5630860870959278,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0029999999999999853,-2.9999999999999853,R_E,0.0029999999999999853,2.9999999999999853,0.6064348141557145,0.6064348141557145,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0019999999999999844,-1.9999999999999845,R_E,0.0019999999999999844,1.9999999999999845,0.6550796852962381,0.6550796852962381,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
-0.0009999999999999835,-0.9999999999999836,R_E,0.0009999999999999835,0.9999999999999836,0.7123521041321571,0.7123521041321571,7.13928273561301e-05,71.3928273561301,0.0,0.0,True,physical_receiver_sample
0.0,0.0,interface,0.0,0.0,0.2658593218292502,0.2658593218292502,7.152627189324436e-05,71.52627189324436,0.0,0.0,False,plot_only_linear_interpolation
0.0010000000000000182,1.0000000000000182,T_E,0.0010000000000000182,1.0000000000000182,0.2357623232495049,-0.2357623232495049,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.002000000000000019,2.000000000000019,T_E,0.002000000000000019,2.000000000000019,0.21117649823064644,-0.21117649823064644,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.00300000000000002,3.00000000000002,T_E,0.00300000000000002,3.00000000000002,0.1910098645173379,-0.1910098645173379,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.004000000000000021,4.000000000000021,T_E,0.004000000000000021,4.000000000000021,0.17403323898183037,-0.17403323898183037,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.005000000000000022,5.000000000000022,T_E,0.005000000000000022,5.000000000000022,0.1595957294263655,-0.1595957294263655,7.112593828190158e-05,71.12593828190158,0.0,0.0,True,physical_receiver_sample
0.006000000000000023,6.000000000000023,T_E,0.006000000000000023,6.000000000000023,0.14721215931308948,-0.14721215931308948,7.112593828190158e-05,71.12593828190158,0.0,0.0,True,physical_receiver_sample
0.0070000000000000236,7.000000000000024,T_E,0.0070000000000000236,7.000000000000024,0.1361557269285198,-0.1361557269285198,7.112593828190158e-05,71.12593828190158,0.0,0.0,True,physical_receiver_sample
0.008000000000000024,8.000000000000025,T_E,0.008000000000000024,8.000000000000025,0.12626236762117754,-0.12626236762117754,7.112593828190158e-05,71.12593828190158,0.0,0.0,True,physical_receiver_sample
0.009000000000000025,9.000000000000025,T_E,0.009000000000000025,9.000000000000025,0.11738758765362271,-0.11738758765362271,7.112593828190158e-05,71.12593828190158,0.0,0.0,True,physical_receiver_sample
0.010000000000000026,10.000000000000027,T_E,0.010000000000000026,10.000000000000027,0.10948824945392177,-0.10948824945392177,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.011000000000000027,11.000000000000027,T_E,0.011000000000000027,11.000000000000027,0.10245580824926744,-0.10245580824926744,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.012000000000000028,12.000000000000028,T_E,0.012000000000000028,12.000000000000028,0.09610081044584362,-0.09610081044584362,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.013000000000000029,13.000000000000028,T_E,0.013000000000000029,13.000000000000028,0.09033829920417552,-0.09033829920417552,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.01400000000000003,14.00000000000003,T_E,0.01400000000000003,14.00000000000003,0.08509733632134339,-0.08509733632134339,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.01500000000000003,15.00000000000003,T_E,0.01500000000000003,15.00000000000003,0.08031795356860197,-0.08031795356860197,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.01600000000000003,16.000000000000032,T_E,0.01600000000000003,16.000000000000032,0.07594892652722199,-0.07594892652722199,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.017000000000000032,17.000000000000032,T_E,0.017000000000000032,17.000000000000032,0.07194611673743652,-0.07194611673743652,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.018000000000000033,18.000000000000032,T_E,0.018000000000000033,18.000000000000032,0.0682712132217538,-0.0682712132217538,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.019000000000000034,19.000000000000036,T_E,0.019000000000000034,19.000000000000036,0.06489075945847227,-0.06489075945847227,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
0.020000000000000035,20.000000000000036,T_E,0.020000000000000035,20.000000000000036,0.061775387890000186,-0.061775387890000186,7.125938281901583e-05,71.25938281901583,0.0,0.0,True,physical_receiver_sample
